Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Indicator_Name,Indicator_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
St. Kitts and Nevis,27319322.0,3118387.99,0.0,24200934.01,0.0,KNA,GDP (current US$),NY.GDP.MKTP.CD,421695769.8,458643829.0,481077373.7,469869869.9,506900000.0,547203703.7,644414814.8,689285185.2,777691333.3,774273111.1,778718518.5,836092592.6,825381481.5,874896296.3,953170370.4,957037037.0,1008100000.0,1058944444.0,1076922222.0,1107844444.0,884522222.2,860844444.4,961563259.3,0.0
Lebanon,3750330000.0,1336819174.0,780525348.2,1962885478.0,853820903.9,LBN,GDP (current US$),NY.GDP.MKTP.CD,17260364842.0,17649751244.0,19152238806.0,20082918740.0,21159827992.0,21497336499.0,22022709852.0,24827355015.0,29118916106.0,35399582929.0,38443907042.0,39927125961.0,44016799516.0,46880103081.0,48095213746.0,49929337837.0,51147308774.0,53027680686.0,54901519156.0,51605959131.0,31712128254.0,23131941557.0,0.0,0.0
Liberia,155950000.0,14693264.56,0.0,141256735.4,-0.02,LBR,GDP (current US$),NY.GDP.MKTP.CD,874000000.0,906000000.0,927000000.0,748000000.0,897000000.0,949000000.0,1119000000.0,1373000000.0,1726000000.0,1768000000.0,1998000000.0,2398000000.0,2791614000.0,3177198100.0,3225652000.0,3227075700.0,3398419600.0,3390703400.0,3422754800.0,3319596500.0,3039982500.0,3509000000.0,4001047150.0,0.0
St. Lucia,40146161.0,2292682.44,0.0,37853478.56,2640000.01,LCA,GDP (current US$),NY.GDP.MKTP.CD,932592592.6,892592592.6,900000000.0,987407407.4,1066666667.0,1135555556.0,1268319185.0,1336088815.0,1437731111.0,1401507889.0,1482370370.0,1568370370.0,1598222222.0,1660222222.0,1749296296.0,1807222222.0,1865444444.0,1996703704.0,2057074074.0,2094185185.0,1516000000.0,1691259259.0,2065027556.0,0.0
Sri Lanka,1856710000.0,361134464.6,331316798.9,1189258736.0,967603495.1,LKA,GDP (current US$),NY.GDP.MKTP.CD,16330814180.0,15749753805.0,16536535647.0,18881765437.0,20662525941.0,24405791045.0,28279802451.0,32350238663.0,40713826321.0,42066223971.0,58636160849.0,67753284135.0,70447217164.0,77000578207.0,82528535573.0,85140955517.0,88012281910.0,94376237832.0,94493871351.0,89014978319.0,84440535699.0,88496535599.0,74403578363.0,0.0
Morocco,25159314000.0,1779312192.0,3775575803.0,19249764178.0,9319698401.0,MAR,GDP (current US$),NY.GDP.MKTP.CD,43017455401.0,43831480206.0,47077192184.0,58029361339.0,66114147932.0,68852655480.0,75883820424.0,86947909745.0,101823000000.0,101155000000.0,100865000000.0,110081000000.0,106937000000.0,115739000000.0,119131000000.0,110414000000.0,111573000000.0,118541000000.0,127341000000.0,128920000000.0,121348000000.0,142867000000.0,134182000000.0,0.0
Moldova,783680000.0,94516865.09,207131488.2,506321358.7,256905234.2,MDA,GDP (current US$),NY.GDP.MKTP.CD,1288429392.0,1480673594.0,1661818168.0,1980907435.0,2598249556.0,2988342907.0,3408255364.0,4401173162.0,6054824433.0,5439434059.0,6974982391.0,8414351672.0,8709138767.0,9496717701.0,9399833207.0,7798692878.0,7982450758.0,9519053158.0,11253727815.0,11735774634.0,11531967881.0,13692230147.0,14420947884.0,0.0
Madagascar,32850000.0,279119.93,0.0,32570880.07,0.0,MDG,GDP (current US$),NY.GDP.MKTP.CD,4629247205.0,5438332601.0,5351701665.0,6372498891.0,5064732625.0,5859269752.0,6395712492.0,8524620891.0,10725137722.0,9616879408.0,9982711338.0,11551819618.0,11578975064.0,12423555457.0,12522957401.0,11323020700.0,11848613860.0,13176313594.0,13760033283.0,14104664678.0,13051441203.0,14554754115.0,14954967604.0,0.0
Mexico,60570150465.0,7603604019.0,890963055.6,52830931354.0,14995434689.0,MEX,GDP (current US$),NY.GDP.MKTP.CD,707910000000.0,756703000000.0,772110000000.0,729335000000.0,782243000000.0,877477000000.0,975383000000.0,1052700000000.0,1109990000000.0,900047000000.0,1057800000000.0,1180490000000.0,1201090000000.0,1274440000000.0,1315360000000.0,1171870000000.0,1078490000000.0,1158910000000.0,1222410000000.0,1269010000000.0,1090510000000.0,1272840000000.0,1414190000000.0,0.0
North Macedonia,2354280124.0,448490778.8,224428341.9,1638380852.0,627803001.8,MKD,GDP (current US$),NY.GDP.MKTP.CD,3772859053.0,3709636012.0,4018365768.0,4946296569.0,5682784433.0,6258602830.0,6861227018.0,8336475036.0,9909552356.0,9401736825.0,9407170389.0,10494626768.0,9745261301.0,10817702424.0,11362265294.0,10064519963.0,10672467073.0,11307067001.0,12683068033.0,12606338449.0,12363580535.0,13825049832.0,13563132057.0,0.0
Myanmar,33350000.0,226056.18,0.0,33123943.82,0.01,MMR,GDP (current US$),NY.GDP.MKTP.CD,6849321646.0,6220270632.0,6110632858.0,7754647428.0,9390855298.0,10588433069.0,11863016315.0,15591182545.0,23013015832.0,29455165595.0,37796052939.0,54118601975.0,58318677645.0,60572257122.0,63264892768.0,63045306514.0,60291738935.0,61449391917.0,67144726168.0,68697761477.0,78930259069.0,65124769602.0,59364362541.0,0.0
Mongolia,233800000.0,0.0,198073891.4,35726108.62,35726108.62,MNG,GDP (current US$),NY.GDP.MKTP.CD,1136896124.0,1267997934.0,1396555720.0,1595297356.0,1992066808.0,2523471602.0,3414055663.0,4234999703.0,5623216610.0,4583850368.0,7189482001.0,10409797375.0,12292770631.0,12582122604.0,12226514666.0,11619892593.0,11181350649.0,11480847740.0,13178094720.0,14206359016.0,13312981427.0,15286441740.0,16810883361.0,0.0
Mozambique,30000000.0,30000000.0,0.0,0.0,0.0,MOZ,GDP (current US$),NY.GDP.MKTP.CD,5656473652.0,5398557896.0,5677013629.0,6303399758.0,7631106171.0,8542083074.0,9176896597.0,10450826527.0,12556173243.0,11914471513.0,11104649065.0,14381552467.0,16350813487.0,16974314296.0,17716091057.0,15950979333.0,11936993087.0,13219079498.0,14845400593.0,15390031040.0,14156864916.0,15776757420.0,17851491428.0,0.0
Malawi,124100000.0,19583574.31,0.0,104516425.7,0.0,MWI,GDP (current US$),NY.GDP.MKTP.CD,2537307566.0,2498008653.0,5087328438.0,4669789300.0,5058726350.0,5320409651.0,5818279739.0,6451210219.0,7743617352.0,9009887947.0,10128323011.0,11648142958.0,8773203178.0,8031571928.0,8801326169.0,9219474373.0,7909868618.0,8943543677.0,9880675786.0,11025371147.0,12056108780.0,12602334124.0,13164667627.0,0.0
Namibia,15000000.0,0.0,0.0,15074534.82,0.0,NAM,GDP (current US$),NY.GDP.MKTP.CD,3922231976.0,3557341284.0,3349169932.0,4926439275.0,6609206506.0,7248375217.0,8001779551.0,8839536894.0,8607431845.0,8938847364.0,11431412421.0,12523359441.0,13042053857.0,12043307277.0,12435430396.0,11335161230.0,10722018975.0,12895153160.0,13682019172.0,12541928103.0,10583748757.0,12446290855.0,12607436976.0,0.0
Nicaragua,233550000.0,3944969.78,0.0,229605030.2,0.0,NIC,GDP (current US$),NY.GDP.MKTP.CD,5107329007.0,5323146566.0,5224213018.0,5322454926.0,5795568205.0,6321324455.0,6763418646.0,7423365275.0,8496948184.0,8298736471.0,8758619131.0,9774320144.0,10531980451.0,10982954744.0,11880433903.0,12756722238.0,13286066155.0,13785890939.0,13025266513.0,12699028890.0,12678162359.0,14145852101.0,15671583878.0,0.0
Pakistan,13588650000.0,1610572049.0,2975853193.0,9006969601.0,2397292263.0,PAK,GDP (current US$),NY.GDP.MKTP.CD,82017743416.0,79484403985.0,79904985385.0,91760542940.0,107760000000.0,120055000000.0,137264000000.0,152386000000.0,170078000000.0,168153000000.0,177166000000.0,213588000000.0,224384000000.0,231218000000.0,244361000000.0,270556000000.0,313630000000.0,339206000000.0,356128000000.0,320909000000.0,300426000000.0,348263000000.0,376533000000.0,0.0
Peru,16696289000.0,2607759063.0,613414051.3,13475115885.0,5445590141.0,PER,GDP (current US$),NY.GDP.MKTP.CD,51744749133.0,52030158775.0,54777553515.0,58731030122.0,66768703498.0,76060606061.0,88643193062.0,102171000000.0,120551000000.0,120823000000.0,147528000000.0,171762000000.0,192650000000.0,201176000000.0,200786000000.0,189803000000.0,191898000000.0,211008000000.0,222597000000.0,228326000000.0,201948000000.0,223718000000.0,242632000000.0,0.0
Philippines,28483577115.0,2703489070.0,3532386265.0,22278247890.0,11642970125.0,PHL,GDP (current US$),NY.GDP.MKTP.CD,83669788255.0,78921234458.0,84307346432.0,87039092439.0,95002000250.0,107420000000.0,127653000000.0,155980000000.0,181625000000.0,175975000000.0,208369000000.0,234217000000.0,261921000000.0,283903000000.0,297484000000.0,306446000000.0,318627000000.0,328481000000.0,346842000000.0,376823000000.0,361751000000.0,394087000000.0,404284000000.0,0.0
Papua New Guinea,866620000.0,70563079.67,79925000.0,716131920.3,75000.02,PNG,GDP (current US$),NY.GDP.MKTP.CD,3521339699.0,3081024212.0,2999511040.0,3536411824.0,3927157867.0,4865892972.0,8354911622.0,9545029481.0,11670891360.0,11619455043.0,14250785801.0,17985138450.0,21295165201.0,21261338065.0,23210823987.0,21723439626.0,20758874953.0,22742696408.0,24109780113.0,24751069238.0,23848442440.0,26311656000.0,30633444295.0,0.0
Paraguay,2617971000.0,145649097.6,406397052.7,2065924850.0,1115661648.0,PRY,GDP (current US$),NY.GDP.MKTP.CD,8855705140.0,8495806432.0,7196260657.0,7691367471.0,9624440836.0,10737500188.0,13429430050.0,17856393235.0,24615267617.0,22355151178.0,27129301048.0,33737033607.0,33296438409.0,38651334593.0,40377987315.0,36211372646.0,36089550672.0,38997129809.0,40225448651.0,37925338460.0,35432177936.0,39950899733.0,41722295362.0,0.0
Sudan,166000000.0,27014050.6,0.0,138985949.4,0.01,SDN,GDP (current US$),NY.GDP.MKTP.CD,12257299147.0,15716361539.0,18137126092.0,21355295732.0,26646007251.0,35182707174.0,45263824686.0,59440139775.0,64833088568.0,58315346841.0,74151157012.0,78402841445.0,63196236489.0,66027147865.0,76818773785.0,84984672416.0,102944000000.0,129719000000.0,32333780383.0,32338079165.0,27034593750.0,34229513775.0,51662241775.0,0.0
