Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Ethiopia,108600000.0,3022.78,0.0,108596977.2,0.0,ETH,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,316615.0033,101146.5583,396117.5584,88288.33945,450079.3329,575608.0438,844549.2813,2070545.555,1728785.563,2826017.047,993167.1947,2983179.514,2458491.293,538887.9529,2190854.732,3838616.245,1115301.752,9802537.589,26729370.57,3025656.188,2325743.277,7417441.476,0.0,0.0
Fiji,354850000.0,9920950.01,11495848.67,333433201.3,182983751.5,FJI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,717136.3151,481480.6182,1460300.327,1002151.589,751638.7778,1182293.695,981659.3273,1626870.292,2448440.705,1344026.504,886338.0469,2358318.627,2569654.105,2337084.68,3169561.278,3916729.28,5975266.753,8092808.463,6688794.481,6344078.05,6117035.769,2276712.592,2572793.656,0.0
Gabon,1221500000.0,108632484.2,109903116.1,1000747444.0,660691710.9,GAB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,190500000.0,200780020.8,0.0,189719979.2,0.0,GHA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44881239.68,189994769.1,156694904.5,237098204.2,0.0,0.0
Grenada,40198161.0,5462837.05,2450533.13,32284790.82,12451866.71,GRD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,607407.4074,674074.0741,444444.4444,570370.3704,788888.8889,885203.7037,2366511.111,2533894.074,3024590.741,3492194.815,5502012.222,5615735.926,6213040.37,6465571.111,8207337.131,9366087.701,9945231.109,8783540.507,12214406.07,13662922.36,11166960.76,11996724.09,0.0,0.0
Guatemala,4817610000.0,505039693.1,473269249.0,3959301058.0,2081848037.0,GTM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,39900000,49400000,60200000,72100000,71710050,85633650,88639330,89808790,93742530,104190630,134841560,153058570,170383790,194885240,209674630,241960110,259562200,315762140,0.0,0.0
Guinea,75200000.0,1700000.0,0.0,73500000.0,0.0,GIN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,1026510,760000,873050,210000,870000,210000,30000,420000,180000,1200000,770000,620000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,79950000.0,3738478.12,0.0,76211521.88,0.01,GUY,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,10800000,5400000,21600000,17600000,18522000,19448000,20421000,21442000,22513606.76,22963878.9,28015932.26,34179437.35,41698913.57,65990000,23943000,18244000,13827630,9405354.444,5260000,3677280,2426130,2985672.593,0.0,0.0
Haiti,2600000.0,0.0,0.0,2600000.0,0.0,HTI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,900000,400000,370000,400000,500000,400000,400000,400000,480000,520000,1640000,1586440,2163920,1642260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,717250000.0,26269346.96,0.0,690980653.0,-0.01,HND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,13800000,15700000,15400000,19117000,19444940,20910350,26751868.55,27747055.11,25381640,25680000,30380000,35154664.84,38670131.32,85312365.83,75110955.92,59033072.64,66573650.27,109405527.9,115060498.6,84546357.75,62388066,93915339.06,102302654.4,0.0
India,79180360000.0,13908668124.0,13484510268.0,51985397565.0,20712853300.0,IND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,282463092.3,317035850.7,345233067,549887942.1,611481232.4,671829366.3,845949436,1159824391,1528826913,1860070100,2438302981,2819291079,3990055617,3903908830,4848711889,5009034407,5466041710,6515405394,7905957777,7889685402,7241107557,8631569309,10427794881,0.0
Indonesia,64315748591.0,8191323300.0,6242964637.0,49865978162.0,19814170572.0,IDN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,990320000,960870000,872228637,1085450000,1327681814,1530107289,1616459043,1787966703,1800089222,1736373354,1861866472,1652686736,1732362913,1900641453,1470072410,1804721423,1530064502,1776614142,2018664741,0.0
Iraq,5204520000.0,306877446.4,818458368.9,4079184185.0,3163847117.0,IRQ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,28600000,0.0,203600000,100000,400000,5300000,0.0,0.0,400000,1000000,1400000,1500000,5700000,7800000,10200000,4900000,4800000,0.0,0.0
Jamaica,3030100000.0,146555253.3,77540076.08,2806004671.0,1009064717.0,JAM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,41000000,38300000,32100000,10800000,9082033,10954140.74,11164167.27,60382721.7,48152311.87,44823553.95,36279447.73,47410236.73,60119539.63,55850569.29,50762247.77,50756619.68,50756619.68,51414871.82,51170096.18,50756619.68,50756619.68,50756619.68,50756619.68,0.0
